Achi's Mostly Real Life Universe,,,,,,,,,,,,,
SEC,East,West,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,
Big 12,Sheriff,Outlaw,,,,,,,,,,,
Pac 12,North,South,,,,,,,,,,,
AAC,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# SEC,,,,,,,,,,,,,
TEAM,SEC,West,Alabama,ALA,110,TEN,,,,,,,
TEAM,SEC,West,Texas A&M,TAMU,85,SCAR,,,,,,,
TEAM,SEC,West,LSU,LSU,85,UF,,,,,,,
TEAM,SEC,West,Auburn,AUB,105,UGA,,,,,,,
TEAM,SEC,West,Mississippi St,MSST,75,UK,,,,,,,
TEAM,SEC,West,Ole Miss,MISS,75,VAN,,,,,,,
TEAM,SEC,West,Arkansas,ARK,70,MIZ,,,,,,,
TEAM,SEC,East,Georgia,UGA,99,AUB,,,,,,,
TEAM,SEC,East,Florida,UF,90,LSU,,,,,,,
TEAM,SEC,East,Tennessee,TEN,80,ALA,,,,,,,
TEAM,SEC,East,South Carolina,SCAR,75,TAMU,,,,,,,
TEAM,SEC,East,Missouri,MIZ,75,ARK,,,,,,,
TEAM,SEC,East,Kentucky,UK,70,MSST,,,,,,,
TEAM,SEC,East,Vanderbilt,VAN,60,MISS,,,,,,,
# ACC,,,,,,,,,,,,,
TEAM,ACC,Atlantic,Clemson,CLEM,110,GT,,,,,,,
TEAM,ACC,Atlantic,Florida St,FSU,90,UM,,,,,,,
TEAM,ACC,Atlantic,Louisville,LOU,80,UVA,,,,,,,
TEAM,ACC,Atlantic,NC State,NCST,80,UNC,,,,,,,
TEAM,ACC,Atlantic,Syracuse,SYR,75,PITT,,,,,,,
TEAM,ACC,Atlantic,Boston College,BC,70,VT,,,,,,,
TEAM,ACC,Atlantic,Wake Forest,WF,60,DUKE,,,,,,,
TEAM,ACC,Coastal,Miami,UM,90,FSU,,,,,,,
TEAM,ACC,Coastal,Virginia Tech,VT,85,BC,,,,,,,
TEAM,ACC,Coastal,UNC,UNC,80,NCST,,,,,,,
TEAM,ACC,Coastal,Pittsburgh,PITT,75,SYR,,,,,,,
TEAM,ACC,Coastal,Georgia Tech,GT,80,CLEM,,,,,,,
TEAM,ACC,Coastal,Duke,DUKE,65,WF,,,,,,,
TEAM,ACC,Coastal,Virginia,UVA,60,LOU,,,,,,,
# B10,,,,,,,,,,,,,
TEAM,Big Ten,West,Wisconsin,WIS,88,OSU,,,,,,,
TEAM,Big Ten,West,Nebraska,NEB,85,MICH,,,,,,,
TEAM,Big Ten,West,Iowa,IOWA,80,PSU,,,,,,,
TEAM,Big Ten,West,Northwestern,NW,75,MSU,,,,,,,
TEAM,Big Ten,West,Purdue,PUR,70,MD,,,,,,,
TEAM,Big Ten,West,Minnesota,MINN,65,IND,,,,,,,
TEAM,Big Ten,West,Illinois,ILL,60,RUT,,,,,,,
TEAM,Big Ten,East,Ohio State,OSU,99,WIS,,,,,,,
TEAM,Big Ten,East,Michigan,MICH,97,NEB,,,,,,,
TEAM,Big Ten,East,Penn State,PSU,85,IOWA,,,,,,,
TEAM,Big Ten,East,Michigan St,MSU,85,NW,,,,,,,
TEAM,Big Ten,East,Maryland,MD,81,PUR,,,,,,,
TEAM,Big Ten,East,Indiana,IND,65,MINN,,,,,,,
TEAM,Big Ten,East,Rutgers,RUT,55,ILL,,,,,,,
# Big12,,,,,,,,,,,,,
TEAM,Big 12,Sheriff,Texas,TEX,80,OKL,,,,,,,
TEAM,Big 12,Sheriff,TCU,TCU,80,OKST,,,,,,,
TEAM,Big 12,Sheriff,Boise State,BSU,80,KSU,,,,,,,
TEAM,Big 12,Sheriff,Texas Tech,TTU,75,WVU,,,,,,,
TEAM,Big 12,Sheriff,Baylor,BAY,70,ARMY,,,,,,,
TEAM,Big 12,Sheriff,Colorado St,CSU,60,WYO,,,,,,,
TEAM,Big 12,Sheriff,Rice,RICE,66,KU,,,,,,,
TEAM,Big 12,Outlaw,Oklahoma,OKL,101,TEX,,,,,,,
TEAM,Big 12,Outlaw,Oklahoma St,OKST,80,TCU,,,,,,,
TEAM,Big 12,Outlaw,Kansas St,KSU,80,BSU,,,,,,,
TEAM,Big 12,Outlaw,West Virginia,WVU,80,TTU,,,,,,,
TEAM,Big 12,Outlaw,Army,ARMY,70,BAY,,,,,,,
TEAM,Big 12,Outlaw,Wyoming,WYO,60,CSU,,,,,,,
TEAM,Big 12,Outlaw,Kanstean,KU,25,RICE,,,,,,,
# Pac 12,,,,,,,,,,,,,
TEAM,Pac 12,North,Oregon,ORE,90,UTAH,,,,,,,
TEAM,Pac 12,North,Notre Dame,ND,90,USC,,,,,,,
TEAM,Pac 12,North,Washington,WASH,85,ARIZ,,,,,,,
TEAM,Pac 12,North,Stanford,STAN,85,BYU,,,,,,,
TEAM,Pac 12,North,Washington St,WSU,75,ASU,,,,,,,
TEAM,Pac 12,North,California,CAL,70,UCLA,,,,,,,
TEAM,Pac 12,North,Oregon St,ORST,60,COLO,,,,,,,
TEAM,Pac 12,South,USC,USC,90,ND,,,,,,,
TEAM,Pac 12,South,UCLA,UCLA,85,CAL,,,,,,,
TEAM,Pac 12,South,Utah,UTAH,75,ORE,,,,,,,
TEAM,Pac 12,South,BYU,BYU,75,STAN,,,,,,,
TEAM,Pac 12,South,Arizona,ARIZ,75,WASH,,,,,,,
TEAM,Pac 12,South,Arizona St,ASU,70,WSU,,,,,,,
TEAM,Pac 12,South,Colorado,COLO,65,ORST,,,,,,,
# AAC,,,,,,,,,,,,,
TEAM,AAC,West,Houston,HOU,80,UCF,,,,,,,
TEAM,AAC,West,Memphis,MEM,75,CIN,,,,,,,
TEAM,AAC,West,SMU,SMU,70,USF,,,,,,,
TEAM,AAC,West,App State,APP,70,TROY,,,,,,,
TEAM,AAC,West,Navy,NAVY,70,TEM,,,,,,,
TEAM,AAC,West,Tulane,TULN,10,ECU,,,,,,,
TEAM,AAC,West,Tulsa,TLSA,55,CONN,,,,,,,
TEAM,AAC,East,UCF,UCF,95,HOU,,,,,,,
TEAM,AAC,East,Cincinnati,CIN,75,MEM,,,,,,,
TEAM,AAC,East,South Florida,USF,75,SMU,,,,,,,
TEAM,AAC,East,Troy,TROY,70,APP,,,,,,,
TEAM,AAC,East,Temple,TEM,70,NAVY,,,,,,,
TEAM,AAC,East,East Carolina,ECU,10,TULN,,,,,,,
TEAM,AAC,East,Connecticut,CONN,55,TLSA,,,,,,,
# Coach format:,Team,Name,Age,Offense,Defense,Recruiting,Training,Off Scheme,Def Scheme,,,,
# COACH,KU,Gary Greggs,44,10000,100000,100,100000,Pro Style,Conservative,,,,
# COACH,ALA,Nick Saban,65,90,100,90,90,Pro Style,Conservative,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# OC,ALA,Mike Locksley,55,90,QB,Deep Pass,,,,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# DC,ALA,Kirby Smart,55,95,LB,Inside Run,,,,,,,
# Player format:,Team,Position,Name,Year (String),Height,Weight,Stars,,,,,,
# PLAYER,ALA,QB,Tua Tagovailoa,So,72,200,5,,,,,,
# OR:,Team,Position,Name,Year (String),Height,Weight,Potential,Football IQ,Durability,Attribute1,Attribute2,Attribute3,Attribute4
PLAYER,OKL,QB,Jalen Hurts,Sr,72,200,75,110,100,95,85,95,105
PLAYER,ALA,QB,Tua Tagovailoa,Jr,72,200,85,95,100,95,85,95,95
PLAYER,KU,QB,Daren Moore,Fr,76,228,100,200,100,105,135,150,150
PLAYER,AUB,RB,SJ Murray,So,71,259,100,100,100,100,100,100,100
PLAYER,AUB,RB,Mason Murray,So,74,251,100,100,100,100,100,100,100
PLAYER,KU,DL,EJ Gore,Fr,80,288,100,200,100,150,150,150,200
PLAYER,ALA,WR,EK Gore,So,76,222,100,100,100,100,100,100,100
PLAYER,CLEM,QB,Trevor Lawrence,Jr,79,231,95,95,77,100,95,95,95
PLAYER,CLEM,WR,Justyn Ross,Jr,74,222,100,125,79,95,90,100,95
PLAYER,AUB,TE,Quincy Green,Fr,80,260,100,100,100,100,100,100,100
PLAYER,OKL,WR,CD Lamb,So,71,259,100,95,100,110,115,110,100
PLAYER,ALA,WR,Sean Missel,So,71,259,100,100,100,100,100,100,100
PLAYER,RICE,QB,Magic Gist,Fr,74,212,100,140,100,100,135,150,135
PLAYER,CONN,QB,Dave Dell,Fr,80,280,100,100,115,100,110,100,100
PLAYER,CLEM,DL,Makk Mavv,Jr,84,325,100,100,100,90,90,90,100
PLAYER,KU,DL,Dakk Devv,Fr,85,325,100,100,100,90,90,90,100
PLAYER,ALA,DL,Ark Vevv,Jr,85,325,100,100,100,100,100,100,90
PLAYER,ALA,DL,Quincy Grevv,Sr,85,325,100,100,100,100,100,100,90
PLAYER,ALA,DL,Eric Evvy,Sr,85,350,100,100,100,100,100,100,90
PLAYER,CLEM,CB,Ruce Ross,Jr,79,230,100,100,100,100,100,100,90
PLAYER,CONN,WR,Tevin Toss,Fr,82,244,100,125,100,100,100,115,115
PLAYER,KU,LB,Norm Nevt,Fr,76,244,100,100,100,100,100,100,90
PLAYER,USC,WR,Aaron Adams,Fr,79,231,100,125,100,125,115,135,150
PLAYER,KU,CB,Xavier Xell,Fr,82,219,100,125,100,125,115,200,125
PLAYER,UCF,CB,Dax Gates,Fr,74,224,105,115,100,105,115,135,115
PLAYER,MICH,QB,Bo Beckell,So,77,240,100,135,77,110,120,95,90
PLAYER,UCF,LB,Vax Griffin,Fr,76,244,100,150,90,110,115,100,110
PLAYER,KU,LB,Zed Hunters,Fr,76,244,100,125,100,110,105,100,100
PLAYER,KU,LB,Oliver Green,Fr,76,244,100,125,100,110,105,100,100
PLAYER,KU,CB,Kevin Kross,Fr,74,224,105,115,100,105,115,135,115
PLAYER,KU,CB,Trae Thompson,Fr,74,224,105,115,100,105,115,135,115
PLAYER,KU,DL,York Smith,Fr,85,350,100,100,100,100,100,100,90
PLAYER,KU,DL,Eric Jones,Fr,85,350,100,100,100,100,100,100,90
PLAYER,KU,DL,Seth Peterson,Fr,85,350,100,100,100,100,100,100,90
PLAYER,KU,S,Dex Tiggins,Fr,76,222,100,100,100,100,100,100,100
